利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
0%,1,Hon,"Hon 会议桌, 黑色",￥0,2017/10/15,中国,华北,邢台,桌子,李彩,25%,2,河北,家具,消费者,CN-2017-3258425,2017/10/10,二级,"￥6,450"
36%,1,爱普生,"爱普生 计算器, 白色",￥526,2017/9/29,中国,东北,肇源,设备,田丹,0%,7,黑龙江,技术,消费者,CN-2017-5398212,2017/9/25,标准级,"￥1,464"
30%,1,Hon,"Hon 合法证物标签, 可调",￥49,2017/9/29,中国,东北,肇源,标签,田丹,0%,4,黑龙江,办公用品,消费者,CN-2017-5398212,2017/9/25,标准级,￥164
-33%,1,Harbour Creations,"Harbour Creations 椅垫, 黑色",-￥195,2016/11/11,中国,华东,南京,椅子,郝立勤,40%,3,江苏,家具,消费者,US-2016-1964482,2016/11/8,一级,￥584
-3%,1,Hon,"Hon 扶手椅, 每套两件",-￥86,2016/11/11,中国,华东,南京,椅子,郝立勤,40%,2,江苏,家具,消费者,US-2016-1964482,2016/11/8,一级,"￥2,573"
16%,1,施乐,"施乐 笔记本, 每包 12 个",￥113,2016/11/11,中国,华东,南京,纸张,郝立勤,0%,5,江苏,办公用品,消费者,US-2016-1964482,2016/11/8,一级,￥712
13%,1,Cardinal,"Cardinal 孔加固材料, 回收",￥8,2016/11/11,中国,华东,南京,装订机,郝立勤,40%,4,江苏,办公用品,消费者,US-2016-1964482,2016/11/8,一级,￥64
36%,1,Enermax,"Enermax 羊皮纸, 优质",￥129,2016/11/11,中国,华东,南京,纸张,郝立勤,0%,5,江苏,办公用品,消费者,US-2016-1964482,2016/11/8,一级,￥359
-13%,1,Advantus,"Advantus 夹子, 金属",-￥22,2016/11/11,中国,华东,南京,系固件,郝立勤,40%,3,江苏,办公用品,消费者,US-2016-1964482,2016/11/8,一级,￥163
-7%,1,Cuisinart,"Cuisinart 微波炉, 银色",-￥104,2016/11/11,中国,华东,南京,器具,郝立勤,40%,2,江苏,办公用品,消费者,US-2016-1964482,2016/11/8,一级,"￥1,564"
39%,1,Tenex,"Tenex 盘, 金属",￥291,2014/11/1,中国,东北,哈尔滨,收纳具,吕凤,0%,3,黑龙江,办公用品,小型企业,CN-2014-2831197,2014/10/28,标准级,￥746
6%,1,GlobeWeis,"GlobeWeis 外皮和封条, 每套 50 个",￥6,2017/3/30,中国,华东,滕州,信封,邵娜,0%,1,山东,办公用品,小型企业,CN-2017-3409532,2017/3/26,标准级,￥100
12%,1,Dania,"Dania 搁架, 金属",￥756,2017/3/30,中国,华东,滕州,书架,邵娜,0%,8,山东,家具,小型企业,CN-2017-3409532,2017/3/26,标准级,"￥6,302"
11%,1,Avery,"Avery 合法证物标签, 红色",￥45,2017/3/30,中国,华东,滕州,标签,邵娜,0%,8,山东,办公用品,小型企业,CN-2017-3409532,2017/3/26,标准级,￥417
44%,1,Hon,"Hon 扶手椅, 红色","￥4,693",2017/3/30,中国,华东,滕州,椅子,邵娜,0%,5,山东,家具,小型企业,CN-2017-3409532,2017/3/26,标准级,"￥10,667"
1%,1,Advantus,"Advantus 橡皮筋, 混合尺寸",￥3,2017/3/30,中国,华东,滕州,系固件,邵娜,0%,5,山东,办公用品,小型企业,CN-2017-3409532,2017/3/26,标准级,￥328
23%,1,SanDisk,"SanDisk 计划信息表, 优质",￥102,2015/3/26,中国,东北,叶柏寿,纸张,王嘉丽,0%,4,辽宁,办公用品,公司,CN-2015-5747151,2015/3/22,标准级,￥445
11%,1,Hoover,"Hoover 咖啡研磨机, 银色",￥71,2017/6/19,中国,华东,合肥,器具,巩光,0%,2,安徽,办公用品,消费者,CN-2017-4075862,2017/6/13,标准级,￥649
39%,1,Memorex,"Memorex 记忆卡, 回收","￥1,275",2017/6/19,中国,华东,合肥,配件,巩光,0%,7,安徽,技术,消费者,CN-2017-4075862,2017/6/13,标准级,"￥3,269"
-195%,1,Binney & Smith,"Binney & Smith 铅笔刀, 蓝色",-￥146,2014/1/21,中国,华东,徐州,美术,薛梦,80%,3,江苏,办公用品,消费者,US-2014-5586841,2014/1/16,标准级,￥75
-20%,1,Acme,"Acme 尺子, 工业",-￥92,2017/4/7,中国,华东,绍兴,用品,葛欢,40%,9,浙江,办公用品,公司,US-2017-3420308,2017/4/3,标准级,￥462
32%,1,Deflect-O,"Deflect-O 灯泡, 优质",￥79,2014/8/22,中国,华北,北京,用具,郭升,0%,3,北京,家具,公司,CN-2014-3291123,2014/8/20,二级,￥247
5%,1,Cardinal,"Cardinal 标签, 透明",￥6,2014/8/22,中国,华北,北京,装订机,郭升,0%,4,北京,办公用品,公司,CN-2014-3291123,2014/8/20,二级,￥125
7%,1,Office Star,"Office Star 折叠椅, 黑色",￥116,2014/8/22,中国,华北,北京,椅子,郭升,0%,4,北京,家具,公司,CN-2014-3291123,2014/8/20,二级,"￥1,667"
1%,1,Rogers,"Rogers 文件车, 蓝色",￥59,2017/10/16,中国,华北,定州,收纳具,田妮,0%,9,河北,办公用品,小型企业,CN-2017-5058012,2017/10/16,当日,"￥5,947"
28%,1,Acme,"Acme 尺子, 工业",￥48,2017/10/16,中国,华北,定州,用品,田妮,0%,2,河北,办公用品,小型企业,CN-2017-5058012,2017/10/16,当日,￥171
-32%,1,Ibico,"Ibico 订书机, 耐用",-￥141,2014/2/26,中国,华东,泰州,装订机,余雯,40%,3,江苏,办公用品,消费者,US-2014-1190387,2014/2/23,二级,￥445
8%,1,Hoover,"Hoover 冰箱, 银色","￥1,377",2016/6/18,中国,中南,开封,器具,邵彩,0%,7,河南,办公用品,小型企业,CN-2016-5035540,2016/6/14,标准级,"￥17,216"
39%,1,Tenex,"Tenex 盘, 金属",￥291,2016/9/24,中国,华东,衢州,收纳具,邵鹏,0%,3,浙江,办公用品,消费者,CN-2016-1966017,2016/9/20,标准级,￥746
-60%,1,思科,"思科 办公室电话机, 混合尺寸",-￥420,2017/11/27,中国,中南,荆门,电话,苏涛,40%,3,湖北,技术,消费者,CN-2017-5816959,2017/11/25,二级,￥700
-38%,1,Accos,"Accos 橡皮筋, 金属",-￥36,2017/11/27,中国,中南,荆门,系固件,苏涛,40%,2,湖北,办公用品,消费者,CN-2017-5816959,2017/11/25,二级,￥94
-57%,1,摩托罗拉,"摩托罗拉 充电器, 全尺寸","-￥2,044",2017/11/27,中国,中南,荆门,电话,苏涛,40%,2,湖北,技术,消费者,CN-2017-5816959,2017/11/25,二级,"￥3,606"
-45%,1,Acco,"Acco 标签, 回收",-￥11,2017/11/27,中国,中南,荆门,装订机,苏涛,40%,1,湖北,办公用品,消费者,CN-2017-5816959,2017/11/25,二级,￥25
36%,1,SanDisk,"SanDisk 计划信息表, 回收",￥159,2017/11/27,中国,中南,荆门,纸张,苏涛,0%,4,湖北,办公用品,消费者,CN-2017-5816959,2017/11/25,二级,￥443
9%,1,Avery,"Avery 孔加固材料, 实惠",￥3,2017/11/27,中国,中南,荆门,装订机,苏涛,40%,3,湖北,办公用品,消费者,CN-2017-5816959,2017/11/25,二级,￥37
-47%,1,松下,"松下 打印机, 耐用","-￥3,484",2017/11/27,中国,中南,荆门,设备,苏涛,40%,10,湖北,技术,消费者,CN-2017-5816959,2017/11/25,二级,"￥7,465"
36%,1,Hamilton Beach,"Hamilton Beach 烤面包机, 白色",￥560,2017/10/28,中国,华北,北京,器具,武明媚,0%,6,北京,办公用品,消费者,CN-2017-2503468,2017/10/23,二级,"￥1,558"
3%,1,Hamilton Beach,"Hamilton Beach 冰箱, 黑色",￥908,2017/10/28,中国,华北,北京,器具,武明媚,0%,13,北京,办公用品,消费者,CN-2017-2503468,2017/10/23,二级,"￥30,307"
29%,1,Harbour Creations,"Harbour Creations 有色标签, 耐用",￥36,2017/10/28,中国,华北,北京,标签,武明媚,0%,2,北京,办公用品,消费者,CN-2017-2503468,2017/10/23,二级,￥124
-13%,1,Hoover,"Hoover 搅拌机, 银色",-￥37,2016/12/13,中国,中南,随州,器具,冯娜,40%,1,湖北,办公用品,公司,US-2016-2286344,2016/12/9,标准级,￥274
-47%,1,Tenex,"Tenex 相框, 耐用",-￥320,2016/12/13,中国,中南,随州,用具,冯娜,40%,5,湖北,家具,公司,US-2016-2286344,2016/12/9,标准级,￥684
-20%,1,Advantus,"Advantus 图钉, 每包 12 个",-￥29,2016/12/13,中国,中南,随州,系固件,冯娜,40%,4,湖北,办公用品,公司,US-2016-2286344,2016/12/9,标准级,￥146
1%,1,Eaton,"Eaton 笔记本, 每包 12 个",￥4,2017/10/22,中国,中南,武汉,纸张,陈锦,0%,3,湖北,办公用品,公司,CN-2017-4647823,2017/10/19,一级,￥430
-32%,1,Safco,"SAFCO 椅垫, 红色",-￥425,2014/9/21,中国,华北,呼和浩特,椅子,常宣,40%,8,内蒙古,家具,消费者,US-2014-3930358,2014/9/21,当日,"￥1,340"
25%,1,Tenex,"Tenex 搁板, 单宽度",￥255,2015/1/3,中国,中南,阳江,收纳具,徐关茵,0%,4,广东,办公用品,公司,CN-2014-5578438,2014/12/28,标准级,"￥1,021"
38%,1,施乐,"施乐 笔记本, 回收",￥372,2015/1/3,中国,中南,阳江,纸张,徐关茵,0%,8,广东,办公用品,公司,CN-2014-5578438,2014/12/28,标准级,￥981
42%,1,Sauder,"Sauder 柜, 白色","￥2,321",2015/1/3,中国,中南,阳江,书架,徐关茵,0%,7,广东,家具,公司,CN-2014-5578438,2014/12/28,标准级,"￥5,527"
13%,1,Stiletto,"Stiletto 修剪器, 蓝色",￥181,2015/1/3,中国,中南,阳江,用品,徐关茵,0%,7,广东,办公用品,公司,CN-2014-5578438,2014/12/28,标准级,"￥1,397"
42%,1,Smead,"Smead 有色标签, 可调",￥21,2017/8/25,中国,中南,襄樊,标签,孔辉,0%,1,湖北,办公用品,公司,CN-2017-4497736,2017/8/22,一级,￥51
6%,1,Wilson Jones,"Wilson Jones 订书机, 回收",￥110,2017/3/27,中国,中南,塘坪,装订机,邹妮,0%,8,广东,办公用品,公司,CN-2017-2875530,2017/3/21,标准级,"￥1,841"
4%,1,Deflect-O,"Deflect-O 相框, 黑色",￥10,2017/3/27,中国,中南,塘坪,用具,邹妮,0%,1,广东,家具,公司,CN-2017-2875530,2017/3/21,标准级,￥242
3%,1,冲电器,"冲电器 计算器, 耐用",￥44,2017/3/27,中国,中南,塘坪,设备,邹妮,0%,6,广东,技术,公司,CN-2017-2875530,2017/3/21,标准级,"￥1,467"
-9%,1,Boston,"Boston 画布, 蓝色",-￥18,2017/3/27,中国,中南,塘坪,美术,邹妮,20%,1,广东,办公用品,公司,CN-2017-2875530,2017/3/21,标准级,￥200
25%,1,Bush,"Bush 书架, 黑色",￥291,2015/9/4,中国,中南,江门,书架,袁德,0%,2,广东,家具,消费者,CN-2015-2351493,2015/9/1,二级,"￥1,165"
36%,1,Kraft,"Kraft 邮寄品, 红色",￥553,2016/6/4,中国,东北,哈尔滨,信封,陶博,0%,8,黑龙江,办公用品,消费者,CN-2016-5385461,2016/5/31,标准级,"￥1,538"
-55%,1,Office Star,"Office Star 折叠椅, 黑色",-￥550,2015/8/25,中国,西南,江油,椅子,冯巧,40%,4,四川,家具,消费者,US-2015-5943918,2015/8/21,标准级,"￥1,000"
-48%,1,Acme,"Acme 大剪刀, 蓝色",-￥338,2015/8/25,中国,西南,江油,用品,冯巧,40%,5,四川,办公用品,消费者,US-2015-5943918,2015/8/21,标准级,￥699
-138%,1,Bevis,"Bevis 咖啡桌, 黑色","-￥4,084",2015/9/11,中国,华东,南通,桌子,葛欢,60%,5,江苏,家具,公司,US-2015-5510381,2015/9/8,一级,"￥2,970"
39%,1,佳能,"佳能 墨水, 红色","￥1,587",2017/9/8,中国,华东,合肥,复印机,巩达侠,0%,6,安徽,技术,消费者,CN-2017-2662386,2017/9/4,标准级,"￥4,070"
29%,1,Bush,"Bush 柜, 白色",￥987,2017/9/8,中国,华东,合肥,书架,巩达侠,0%,5,安徽,家具,消费者,CN-2017-2662386,2017/9/4,标准级,"￥3,404"
46%,1,Avery,"Avery 孔加固材料, 实惠",￥47,2017/9/8,中国,华东,合肥,装订机,巩达侠,0%,5,安徽,办公用品,消费者,CN-2017-2662386,2017/9/4,标准级,￥103
32%,1,Brother,"Brother 个人复印机, 数字化",￥638,2017/9/8,中国,华东,合肥,复印机,巩达侠,0%,3,安徽,技术,消费者,CN-2017-2662386,2017/9/4,标准级,"￥1,995"
20%,1,Hewlett,"Hewlett 传真复印机, 每套两件",￥540,2017/9/8,中国,华东,合肥,复印机,巩达侠,0%,3,安徽,技术,消费者,CN-2017-2662386,2017/9/4,标准级,"￥2,700"
-350%,1,Sanford,"Sanford 速写本, 金属",-￥153,2016/8/10,中国,西南,成都,美术,李蔓楚,80%,1,四川,办公用品,小型企业,CN-2016-3676630,2016/8/9,一级,￥44
32%,1,Eaton,"Eaton 令, 每包 12 个",￥92,2014/5/9,中国,华北,天津,纸张,吕兰,0%,2,天津,办公用品,消费者,CN-2014-5313470,2014/5/3,标准级,￥286
30%,1,Smead,"Smead 搁板, 单宽度",￥205,2014/8/6,中国,中南,湘乡,收纳具,常光,0%,3,湖南,办公用品,公司,CN-2014-5601190,2014/8/1,二级,￥685
3%,1,Tenex,"Tenex 文件夹, 单宽度",￥10,2014/8/6,中国,中南,湘乡,收纳具,常光,0%,3,湖南,办公用品,公司,CN-2014-5601190,2014/8/1,二级,￥326
0%,1,夏普,"夏普 复印机, 红色",￥0,2014/8/6,中国,中南,湘乡,复印机,常光,0%,1,湖南,技术,公司,CN-2014-5601190,2014/8/1,二级,"￥1,109"
16%,1,Acco,"Acco 打孔机, 耐用",￥71,2016/8/25,中国,华北,平遥,装订机,殷崆,0%,3,山西,办公用品,消费者,CN-2016-1752478,2016/8/20,标准级,￥443
46%,1,Harbour Creations,"Harbour Creations 椅垫, 可调",￥640,2016/8/25,中国,华北,平遥,椅子,殷崆,0%,4,山西,家具,消费者,CN-2016-1752478,2016/8/20,标准级,"￥1,390"
9%,1,Tenex,"Tenex 文件夹, 金属",￥28,2015/8/26,中国,东北,朝阳,收纳具,程聪,0%,3,吉林,办公用品,消费者,CN-2015-3436186,2015/8/24,一级,￥312
14%,1,Boston,"Boston 画布, 混合尺寸",￥58,2015/9/26,中国,东北,公主岭,美术,康丽,20%,2,吉林,办公用品,消费者,US-2015-3670764,2015/9/20,标准级,￥424
36%,1,Harbour Creations,"Harbour Creations 凳子, 可调",￥613,2016/11/2,中国,东北,哈尔滨,椅子,贺锦,0%,2,黑龙江,家具,消费者,CN-2016-1177754,2016/10/28,标准级,"￥1,704"
37%,1,Hoover,"Hoover 搅拌机, 白色",￥165,2016/11/21,中国,华东,晋江,器具,常康,0%,1,福建,办公用品,公司,CN-2016-3188191,2016/11/18,一级,￥445
32%,1,Ames,"Ames 局间信封, 红色",￥218,2014/11/15,中国,东北,佳木斯,信封,郝婷,0%,3,黑龙江,办公用品,消费者,CN-2014-4121606,2014/11/11,标准级,￥681
10%,1,OIC,"OIC 夹子, 混合尺寸",￥24,2014/11/15,中国,东北,佳木斯,系固件,郝婷,0%,3,黑龙江,办公用品,消费者,CN-2014-4121606,2014/11/11,标准级,￥241
50%,1,GlobeWeis,"GlobeWeis 外皮和封条, 银色",￥166,2016/1/9,中国,中南,南阳,信封,徐安,0%,3,河南,办公用品,消费者,CN-2016-5035540,2016/1/7,二级,￥333
28%,1,Eldon,"Eldon 搁板, 金属",￥248,2016/4/12,中国,华东,上虞,收纳具,田诚,0%,4,浙江,办公用品,小型企业,CN-2016-4988987,2016/4/12,当日,￥886
-53%,1,Deflect-O,"Deflect-O 门挡, 黑色",-￥197,2016/4/12,中国,华东,上虞,用具,田诚,40%,3,浙江,家具,小型企业,CN-2016-4988987,2016/4/12,当日,￥369
11%,1,Cameo,"Cameo 邮寄品, 银色",￥145,2016/4/12,中国,华东,上虞,信封,田诚,0%,7,浙江,办公用品,小型企业,CN-2016-4988987,2016/4/12,当日,"￥1,325"
30%,1,Eldon,"Eldon 分层置放架, 耐用",￥439,2015/5/16,中国,华北,天津,用具,麦磊,0%,11,天津,家具,消费者,CN-2015-3132720,2015/5/11,标准级,"￥1,465"
21%,1,Ibico,"Ibico 订书机, 耐用",￥52,2015/5/16,中国,华北,天津,装订机,麦磊,0%,1,天津,办公用品,消费者,CN-2015-3132720,2015/5/11,标准级,￥247
20%,1,Brother,"Brother 个人复印机, 红色",￥395,2017/9/14,中国,西北,西安,复印机,潘荷,0%,3,陕西,技术,小型企业,CN-2017-5468349,2017/9/8,标准级,"￥1,975"
-57%,1,Office Star,"Office Star 摇椅, 红色",-￥447,2016/8/28,中国,华东,邳州,椅子,夏平,40%,2,江苏,家具,消费者,US-2016-4505574,2016/8/28,当日,￥789
30%,1,Fellowes,"Fellowes 盒, 单宽度",￥55,2014/5/9,中国,中南,广州,收纳具,钱珊,0%,2,广东,办公用品,公司,US-2014-5555490,2014/5/6,二级,￥184
-360%,1,Sanford,"Sanford 速写本, 混合尺寸",-￥818,2014/11/6,中国,东北,朝阳,美术,洪强,80%,5,辽宁,办公用品,公司,US-2014-1966706,2014/11/1,标准级,￥227
35%,1,GlobeWeis,"GlobeWeis 商业信封, 红色",￥102,2014/11/6,中国,东北,朝阳,信封,洪强,0%,3,辽宁,办公用品,公司,US-2014-1966706,2014/11/1,标准级,￥292
5%,1,SanDisk,"SanDisk 路由器, 实惠",￥179,2016/6/10,中国,中南,深圳,配件,薛娇,0%,3,广东,技术,消费者,CN-2016-4078386,2016/6/3,标准级,"￥3,589"
40%,1,Wilson Jones,"Wilson Jones 标签, 实惠",￥24,2016/6/10,中国,中南,深圳,装订机,薛娇,0%,2,广东,办公用品,消费者,CN-2016-4078386,2016/6/3,标准级,￥60
7%,1,Avery,"Avery 可去除的标签, 耐用",￥18,2014/5/17,中国,西北,肃州,标签,楚杰,0%,5,甘肃,办公用品,消费者,CN-2014-2823186,2014/5/12,标准级,￥260
-8%,1,Ibico,"Ibico 装订机, 耐用",-￥4,2014/5/17,中国,西北,肃州,装订机,楚杰,40%,1,甘肃,办公用品,消费者,CN-2014-2823186,2014/5/12,标准级,￥48
-22%,1,Rubbermaid,"Rubvermaid 相框, 一包多件",-￥157,2014/5/17,中国,西北,肃州,用具,楚杰,40%,5,甘肃,家具,消费者,CN-2014-2823186,2014/5/12,标准级,￥725
-156%,1,Boston,"Boston 钢笔, 整包",-￥42,2014/5/17,中国,西北,肃州,美术,楚杰,80%,2,甘肃,办公用品,消费者,CN-2014-2823186,2014/5/12,标准级,￥27
20%,1,Ibico,"Ibico 标签, 耐用",￥19,2016/6/22,中国,华东,黄山,装订机,吕君,0%,2,安徽,办公用品,消费者,CN-2016-4111983,2016/6/19,一级,￥97
41%,1,Kraft,"Kraft 商业信封, 银色",￥252,2015/11/23,中国,华北,天津,信封,邓保,0%,7,天津,办公用品,消费者,CN-2015-2979175,2015/11/17,标准级,￥615
31%,1,Hon,"Hon 凳子, 可调","￥2,162",2015/11/23,中国,华北,天津,椅子,邓保,0%,9,天津,家具,消费者,CN-2015-2979175,2015/11/17,标准级,"￥6,978"
11%,1,Cuisinart,"Cuisinart 炉灶, 黑色",￥552,2015/11/23,中国,华北,天津,器具,邓保,0%,2,天津,办公用品,消费者,CN-2015-2979175,2015/11/17,标准级,"￥5,019"
-7%,1,Hewlett,"Hewlett 墨水, 每套两件",-￥111,2017/6/11,中国,华北,通辽,复印机,涂辉,40%,4,内蒙古,技术,小型企业,CN-2017-2210906,2017/6/4,标准级,"￥1,665"
-38%,1,Eldon,"Eldon 闹钟, 耐用",-￥173,2017/6/11,中国,华北,通辽,用具,涂辉,40%,3,内蒙古,家具,小型企业,CN-2017-2210906,2017/6/4,标准级,￥450
29%,1,Cameo,"Cameo 外皮和封条, 回收",￥27,2017/6/11,中国,华北,通辽,信封,涂辉,0%,1,内蒙古,办公用品,小型企业,CN-2017-2210906,2017/6/4,标准级,￥92
9%,1,Eaton,"Eaton 计划信息表, 回收",￥26,2017/6/11,中国,华北,通辽,纸张,涂辉,0%,3,内蒙古,办公用品,小型企业,CN-2017-2210906,2017/6/4,标准级,￥287
31%,1,诺基亚,"诺基亚 办公室电话机, 全尺寸",￥480,2015/7/4,中国,中南,桂林,电话,范晒明,0%,5,广西,技术,消费者,CN-2015-1363241,2015/6/28,标准级,"￥1,550"
-48%,1,KitchenAid,"KitchenAid 咖啡研磨机, 红色",-￥382,2014/3/28,中国,东北,营口,器具,邵黎明,40%,4,辽宁,办公用品,小型企业,US-2014-1924488,2014/3/21,标准级,￥789
-57%,1,Stiletto,"Stiletto 大剪刀, 钢",-￥75,2014/8/19,中国,东北,大连,用品,秦宁,40%,1,辽宁,办公用品,消费者,US-2014-2199283,2014/8/19,当日,￥133
-47%,1,Hoover,"Hoover 微波炉, 银色",-￥809,2017/5/29,中国,中南,蔡甸,器具,陈娟,40%,2,湖北,办公用品,消费者,CN-2017-5510381,2017/5/25,标准级,"￥1,733"
23%,1,Fellowes,"Fellowes 盘, 蓝色",￥799,2017/5/30,中国,东北,沈阳,收纳具,巩辉,0%,13,辽宁,办公用品,消费者,CN-2017-1510100,2017/5/26,标准级,"￥3,482"
12%,1,Eldon,"Eldon 搁板, 蓝色",￥216,2017/8/7,中国,中南,吴川,收纳具,韩凤,0%,8,广东,办公用品,小型企业,CN-2017-1313540,2017/8/3,标准级,"￥1,808"
45%,1,Novimex,"Novimex 运输标签, 耐用",￥95,2016/8/24,中国,东北,佳木斯,标签,顾升,0%,4,黑龙江,办公用品,小型企业,CN-2016-5592498,2016/8/21,一级,￥212
44%,1,Deflect-O,"Deflect-O 闹钟, 一包多件",￥723,2016/8/24,中国,东北,佳木斯,用具,顾升,0%,7,黑龙江,家具,小型企业,CN-2016-5592498,2016/8/21,一级,"￥1,645"
23%,1,Acco,"Acco 订书机, 回收",￥496,2016/8/24,中国,东北,佳木斯,装订机,顾升,0%,9,黑龙江,办公用品,小型企业,CN-2016-5592498,2016/8/21,一级,"￥2,161"
8%,1,爱普生,"爱普生 电话, 红色",￥87,2016/10/18,中国,中南,汕头,设备,巩达侠,0%,3,广东,技术,消费者,CN-2016-1381339,2016/10/14,标准级,"￥1,094"
28%,1,Eldon,"Eldon 搁板, 金属",￥124,2014/1/23,中国,东北,珲春,收纳具,马雯,0%,2,吉林,办公用品,公司,CN-2014-2575295,2014/1/21,二级,￥443
17%,1,Accos,"Accos 夹子, 金属",￥18,2016/1/27,中国,中南,武汉,系固件,涂丽,40%,2,湖北,办公用品,消费者,CN-2016-4180783,2016/1/25,一级,￥109
10%,1,Eldon,"Eldon 相框, 优质",￥26,2015/8/30,中国,东北,辽源,用具,秦刚,0%,1,吉林,家具,公司,CN-2015-1086295,2015/8/23,标准级,￥265
47%,1,Safco,"SAFCO 扶手椅, 每套两件","￥1,017",2016/8/26,中国,华东,南平,椅子,林德伟,0%,1,福建,家具,公司,CN-2016-1900777,2016/8/22,标准级,"￥2,164"
35%,1,Harbour Creations,"Harbour Creations 摇椅, 黑色",￥236,2016/8/26,中国,华东,南平,椅子,林德伟,0%,1,福建,家具,公司,CN-2016-1900777,2016/8/22,标准级,￥675
19%,1,Avery,"Avery 装订机盖, 回收",￥91,2017/11/21,中国,东北,鹤岗,装订机,邹妮,0%,9,黑龙江,办公用品,公司,CN-2017-2588842,2017/11/17,标准级,￥480
-60%,1,Stockwell,"Stockwell 橡皮筋, 每包 12 个",-￥54,2017/5/16,中国,东北,沈阳,系固件,施良,40%,2,辽宁,办公用品,消费者,US-2017-4171126,2017/5/12,标准级,￥89
-8%,1,松下,"松下 电话, 红色",-￥58,2017/5/16,中国,东北,沈阳,设备,施良,40%,3,辽宁,技术,消费者,US-2017-4171126,2017/5/12,标准级,￥689
-37%,1,Ibico,"Ibico 打孔机, 回收",-￥64,2017/5/16,中国,东北,沈阳,装订机,施良,40%,2,辽宁,办公用品,消费者,US-2017-4171126,2017/5/12,标准级,￥173
-64%,1,Cardinal,"Cardinal 孔加固材料, 耐用",-￥24,2016/10/13,中国,东北,朝阳,装订机,杨栋,40%,2,辽宁,办公用品,公司,CN-2016-4054371,2016/10/11,二级,￥38
-33%,1,贝尔金,"贝尔金 键区, 回收",-￥260,2016/5/6,中国,中南,荆州,配件,邢盛,40%,5,湖北,技术,消费者,US-2016-4497736,2016/5/1,标准级,￥778
-33%,1,StarTech,"StarTech 电话, 多色",-￥348,2016/5/6,中国,中南,荆州,设备,邢盛,40%,5,湖北,技术,消费者,US-2016-4497736,2016/5/1,标准级,"￥1,043"
-35%,1,Acme,"Acme 尺子, 蓝色",-￥33,2015/9/15,中国,西北,兰州,用品,朱丽丽,40%,2,甘肃,办公用品,小型企业,US-2015-3550359,2015/9/11,二级,￥94
10%,1,思科,"思科 充电器, 混合尺寸","￥1,221",2016/9/14,中国,华东,菏泽,电话,李蔓楚,0%,4,山东,技术,小型企业,CN-2016-3904829,2016/9/10,标准级,"￥12,212"
-50%,1,OIC,"OIC 夹子, 混合尺寸",-￥72,2016/2/16,中国,东北,苏家屯,系固件,巩德,40%,3,辽宁,办公用品,小型企业,US-2016-2844736,2016/2/12,标准级,￥145
45%,1,Deflect-O,"Deflect-O 门挡, 耐用",￥516,2017/12/22,中国,西北,西安,用具,谭珊,0%,6,陕西,家具,消费者,CN-2017-2511714,2017/12/18,标准级,"￥1,147"
45%,1,Wilson Jones,"Wilson Jones 装订机, 透明",￥79,2017/12/22,中国,西北,西安,装订机,谭珊,0%,3,陕西,办公用品,消费者,CN-2017-2511714,2017/12/18,标准级,￥175
47%,1,Avery,"Avery 装订机, 实惠",￥57,2017/12/30,中国,华东,寒亭,装订机,邢伟,0%,2,山东,办公用品,消费者,CN-2017-3815654,2017/12/26,二级,￥120
46%,1,Stockwell,"Stockwell 按钉, 金属",￥181,2016/8/28,中国,华东,淮南,系固件,任实,0%,6,安徽,办公用品,消费者,CN-2016-5007229,2016/8/22,标准级,￥395
1%,1,Fellowes,"Fellowes 锁柜, 金属",￥19,2016/8/28,中国,华东,淮南,收纳具,任实,0%,2,安徽,办公用品,消费者,CN-2016-5007229,2016/8/22,标准级,"￥1,926"
1%,1,Eaton,"Eaton 笔记本, 每包 12 个",￥11,2017/2/13,中国,华东,苏州,纸张,陶德伟,0%,8,江苏,办公用品,消费者,CN-2017-5950580,2017/2/11,二级,"￥1,147"
-355%,1,Binney & Smith,"Binney & Smith 速写本, 整包",-￥463,2017/2/13,中国,华东,苏州,美术,陶德伟,80%,3,江苏,办公用品,消费者,CN-2017-5950580,2017/2/11,二级,￥130
3%,1,BIC,"BIC 画布, 整包",￥7,2017/7/25,中国,华北,天津,美术,范彩,0%,1,天津,办公用品,公司,CN-2017-3902607,2017/7/21,标准级,￥252
23%,1,Sauder,"Sauder 书架, 金属",￥628,2017/7/25,中国,华北,天津,书架,范彩,0%,4,天津,家具,公司,CN-2017-3902607,2017/7/21,标准级,"￥2,731"
5%,1,Eaton,"Eaton 计划信息表, 每包 12 个",￥52,2016/11/4,中国,华东,上海,纸张,谭涛,0%,9,上海,办公用品,公司,CN-2016-1129627,2016/10/29,标准级,"￥1,038"
8%,1,Smead,"Smead 锁柜, 单宽度",￥148,2015/7/28,中国,中南,深圳,收纳具,黄婷,0%,2,广东,办公用品,消费者,CN-2015-5445015,2015/7/25,一级,"￥1,852"
-19%,1,Acco,"Acco 装订机, 耐用",-￥61,2017/6/7,中国,华东,苏州,装订机,佘宁,40%,7,江苏,办公用品,消费者,US-2017-3378788,2017/6/5,一级,￥326
-23%,1,夏普,"夏普 传真复印机, 每套两件",-￥992,2017/5/23,中国,西南,成都,复印机,周柏,40%,9,四川,技术,小型企业,US-2017-5822232,2017/5/20,二级,"￥4,249"
